hits,misses,mode,iteration,latency_us
1,7,cpu_base,0,140
1,7,cpu_base,1,140
1,7,cpu_base,2,135
1,7,cpu_base,3,140
1,7,serial,0,693
1,7,serial,1,636
1,7,serial,2,586
1,7,serial,3,575
1,7,concurrent,0,515
1,7,concurrent,1,511
1,7,concurrent,2,497
1,7,concurrent,3,519
2,6,cpu_base,0,136
2,6,cpu_base,1,140
2,6,cpu_base,2,139
2,6,cpu_base,3,135
2,6,serial,0,606
2,6,serial,1,575
2,6,serial,2,573
2,6,serial,3,567
2,6,concurrent,0,493
2,6,concurrent,1,443
2,6,concurrent,2,453
2,6,concurrent,3,480
3,5,cpu_base,0,239
3,5,cpu_base,1,231
3,5,cpu_base,2,246
3,5,cpu_base,3,224
3,5,serial,0,623
3,5,serial,1,605
3,5,serial,2,634
3,5,serial,3,690
3,5,concurrent,0,507
3,5,concurrent,1,525
3,5,concurrent,2,568
3,5,concurrent,3,521
4,4,cpu_base,0,222
4,4,cpu_base,1,213
4,4,cpu_base,2,235
4,4,cpu_base,3,276
4,4,serial,0,552
4,4,serial,1,525
4,4,serial,2,501
4,4,serial,3,484
4,4,concurrent,0,477
4,4,concurrent,1,472
4,4,concurrent,2,494
4,4,concurrent,3,458
5,3,cpu_base,0,242
5,3,cpu_base,1,234
5,3,cpu_base,2,219
5,3,cpu_base,3,237
5,3,serial,0,645
5,3,serial,1,640
5,3,serial,2,615
5,3,serial,3,638
5,3,concurrent,0,514
5,3,concurrent,1,561
5,3,concurrent,2,583
5,3,concurrent,3,504
6,2,cpu_base,0,244
6,2,cpu_base,1,219
6,2,cpu_base,2,241
6,2,cpu_base,3,253
6,2,serial,0,505
6,2,serial,1,537
6,2,serial,2,495
6,2,serial,3,585
6,2,concurrent,0,542
6,2,concurrent,1,486
6,2,concurrent,2,621
6,2,concurrent,3,599
7,1,cpu_base,0,221
7,1,cpu_base,1,263
7,1,cpu_base,2,247
7,1,cpu_base,3,229
7,1,serial,0,481
7,1,serial,1,479
7,1,serial,2,492
7,1,serial,3,473
7,1,concurrent,0,415
7,1,concurrent,1,464
7,1,concurrent,2,401
7,1,concurrent,3,387
